donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Córdoba,Part-Time,Remoto (empresa de otro país),213000,180000,Cobro todo el salario en dólares,,0,0,0,0,21,Junior
Buenos Aires,Full-Time,Staff (planta permanente),320000,498000,Cobro todo el salario en dólares,Dólar banco nación.,1,1,1,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),407000,280000,Cobro parte del salario en dólares,,3,2,0,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000,600000,,,7,0,0,0,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),312592,372400,Mi sueldo está dolarizado (pero cobro en moneda local),,4,0.6,0.6,0,38,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1600000,1400000,Cobro todo el salario en dólares,Ninguno, me pagan en dólares en el exterior,6,0,1,40,32,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000,550000,,,10,5,5,1,37,Senior
Santa Fe,Full-Time,Staff (planta permanente),353000,248000,,,2,11,2,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),454000,254000,Mi sueldo está dolarizado (pero cobro en moneda local),168,10,6,6,20,45,Senior
Santa Fe,Full-Time,Staff (planta permanente),246600,205500,,,2,0,0,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),283000,230000,,,3,1,1,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),457000,,,,2,2,2,0,39,Junior
Buenos Aires,Full-Time,Staff (planta permanente),100000,87000,,,0,0,0,0,45,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),267000,221698,,,5,1.5,1.5,0,34,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),270000,230000,,,3,1,2,0,28,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),253000,193000,Cobro parte del salario en dólares,,3,1,3,0,29,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),248000,248000,Mi sueldo está dolarizado (pero cobro en moneda local),311,2,3,2,0,28,Junior
Buenos Aires,Full-Time,Staff (planta permanente),465000,285,Mi sueldo está dolarizado (pero cobro en moneda local),,15,1,1,0,41,Senior
Córdoba,Full-Time,Staff (planta permanente),230000,190000,Cobro parte del salario en dólares,165,3,2,2,0,24,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),311000,265000,,,5,0,0,0,30,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),241000,200000,Mi sueldo está dolarizado (pero cobro en moneda local),,0,0,0,0,25,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),360600,304300,,,16,1,1,0,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),644000,256000,,,5,1.5,1.5,0,45,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),330000,240000,,,1,1,1,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),150000,120000,,,1,1,1,0,21,Junior
