donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,250000,,,15,10,1,0,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),557000,397000,,,6,1,0,2,37,Senior
Salta,Full-Time,Staff (planta permanente),246000,221000,,,10,10,5,0,39,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,280000,,,10,5,1,0,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),480000,318000,,,1,1,1,0,39,Junior
Santa Fe,Full-Time,Staff (planta permanente),596000,385000,,,14,3,0,34,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),245000,204000,,,2,2,2,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),487900,276000,,,6,4,1,4,31,Senior
Entre Ríos,Full-Time,Freelance,160000,150000,Cobro todo el salario en dólares,330,0,0,0,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),554000,350000,,,3,2,0,15,38,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),756800,756800,Cobro todo el salario en dólares,,5,2,1.5,0,29,Semi-Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1400000,1300000,Cobro todo el salario en dólares,,5,0,5,0,34,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),440000,360000,Mi sueldo está dolarizado (pero cobro en moneda local),,12,1,1,3,33,Senior
Buenos Aires,Full-Time,Staff (planta permanente),200000,165000,,,4,75,4,2,37,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),220992.89,220859.23,Mi sueldo está dolarizado (pero cobro en moneda local),350,0,0,0,0,30,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,350000,350000,,,5,2,5,0,37,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),232000,198000,,,1,2,1,0,34,Junior
Buenos Aires,Full-Time,Staff (planta permanente),725000,450000,,,7,0,2,2,27,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),110400,94900,,,1,0,1,0,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),450000,,,,11,1,1,7,36,Senior
Córdoba,Full-Time,Staff (planta permanente),409600,339968,,,15,4,3,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),480000,400000,,,15,1,1,0,38,Senior
Buenos Aires,Full-Time,Staff (planta permanente),180000,140000,Mi sueldo está dolarizado (pero cobro en moneda local),302,15,7,7,5,37,Senior
Misiones,Full-Time,Staff (planta permanente),380000,290000,,,12,10,2,3,38,Senior
Buenos Aires,Full-Time,Staff (planta permanente),322000,267000,,,2,2,0,5,22,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),267000,223000,,,3.5,0,0,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),734000,400000,,,14,3,3,9,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),230000,189000,,,1,1,1,0,40,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),630000,615000,Cobro todo el salario en dólares,Dolar crypto,2.5,10,10,1,27,Semi-Senior
Entre Ríos,Full-Time,Staff (planta permanente),193000,150000,,,5,4,4,0,28,Semi-Senior
Mendoza,Full-Time,Remoto (empresa de otro país),980000,900000,Cobro todo el salario en dólares,,10,2,2,0,31,Senior
Córdoba,Full-Time,Staff (planta permanente),240000,240000,,,17,17,17,2,42,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),460000,330000,,,2,0,0,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),380000,220000,,,10,12,10,0,56,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,350000,,,30,2,2,20,600,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),235000,195000,,,2,1,0.4,0,20,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),92000,76000,,,0,0,0,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),390000,285000,,,15,1,1,0,49,Senior
Entre Ríos,Full-Time,Staff (planta permanente),250000,,Mi sueldo está dolarizado (pero cobro en moneda local),187,10,10,5,8,45,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),130000,130000,,,0,0,0,1,34,Junior
Entre Ríos,Full-Time,Staff (planta permanente),190000,150000,,,2,20,2,0,50,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1100000,900000,Cobro todo el salario en dólares,,10,0,0,0,28,Senior
Buenos Aires,Full-Time,Staff (planta permanente),161000,131000,,,8,6,6,0,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000,400000,Cobro parte del salario en dólares,170,32,3,3,200,57,Senior
Santa Fe,Full-Time,Staff (planta permanente),193000,170000,,,10,0,0,0,28,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,320000,,-,2,3,2,0,45,Junior
Santa Fe,Full-Time,Staff (planta permanente),254000,204000,,,6,0,0,3,38,Senior
Santa Fe,Full-Time,Participación societaria en una cooperativa,610000,457000,,,19,16,3,1,45,Senior
Buenos Aires,Full-Time,Staff (planta permanente),170000,150000,Cobro parte del salario en dólares,350,5,5,5,0,24,Semi-Senior
Santa Fe,Full-Time,Remoto (empresa de otro país),1242000,1242000,Cobro todo el salario en dólares,345,10,1.5,0.5,1,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),414000,340000,,,15,2,2,0,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000,126000,Cobro parte del salario en dólares,170,4,2,2,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000,320000,,,20,13,13,5,45,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),263000,203000,,,2,0,1,0,27,Junior
Mendoza,Part-Time,Staff (planta permanente),160000,145000,Cobro todo el salario en dólares,,1.7,1.7,1.7,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),300000,270000,,,0,0,0,0,25,Junior
Buenos Aires,Full-Time,Staff (planta permanente),506208,320000,,,15,0,0,0,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),306000,256000,,,3,1.5,1.5,0,24,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),270000,240000,,,22,24,22,0,52,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),150000,130000,,,12,1,1,0,44,Senior
Corrientes,Full-Time,Staff (planta permanente),520000,386000,,,2,1,1,0,24,Junior
Buenos Aires,Full-Time,Staff (planta permanente),358000,275000,,,0,0,0,0,30,Junior
Tucumán,Full-Time,Staff (planta permanente),195000,195000,,,15,3,3,64,40,Senior
Córdoba,Full-Time,Staff (planta permanente),340000,420000,Cobro parte del salario en dólares,178,4,0,0,0,26,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),412000,412000,,,18,2,2,0,42,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),708320,466403,,,30,9,9,1,50,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),650000,480000,,,2,2,2,0,53,Junior
Corrientes,Full-Time,Tercerizado (trabajo a través de consultora o agencia),325000,300000,,,15,2,1,1,40,Senior
Mendoza,Full-Time,Staff (planta permanente),151000,132000,,,1,1,1,0,21,Junior
Neuquén,Full-Time,Staff (planta permanente),500000,430000,Cobro todo el salario en dólares,,2,2,2,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),240000,200000,,,7,1,1,0,38,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),367500,340000,Cobro todo el salario en dólares,Dólar crypto del dia,2,1,1,0,29,Junior
Buenos Aires,Full-Time,Staff (planta permanente),800000,450000,,,20,17,3,20,50,Senior
Entre Ríos,Full-Time,Freelance,215000,,,,0,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),90347,135790,,,0,0,0,0,25,Junior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),90000,90000,,,0,0,0,1,20,Junior
Entre Ríos,Full-Time,Remoto (empresa de otro país),520000,,Cobro todo el salario en dólares,330,3,0,0,9,30,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),270000,210000,,,3,0,0,0,22,Semi-Senior
San Luis,Full-Time,Staff (planta permanente),330000,272000,,,10,2,1,2,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000,340000,Cobro parte del salario en dólares,Oficial,12,0,10,0,34,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),375000,375000,Cobro todo el salario en dólares,325,2,2,2,0,26,Junior
Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),435000,380000,,,17,3,3,0,37,Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),150000,150000,,,1,0,0,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),392000,325359,,,18,0,0,0,56,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),375962,280294,,,9,1,1,0,43,Senior
Neuquén,Full-Time,Remoto (empresa de otro país),493500,460000,Cobro todo el salario en dólares,329,2,2,2,0,30,Junior
Entre Ríos,Full-Time,Staff (planta permanente),500000,380000,Mi sueldo está dolarizado (pero cobro en moneda local),178,25,1,1,0,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,330000,Cobro parte del salario en dólares,,2,1,1,1,31,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,650000,,,9,5,3,12,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),495000,380000,,,30,25,23,8,48,Senior
Buenos Aires,Full-Time,Staff (planta permanente),850000,700000,Cobro parte del salario en dólares,Banco nación,13,13,1,5,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),420000,282000,,,8,5,3,4,31,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),250000,207000,,,1,1,1,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),464436,180000,Cobro parte del salario en dólares,166,15,4,8,0,32,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),325000,260000,,,1,1,1,0,26,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),862500,857000,Cobro todo el salario en dólares,,8,2,2,0,38,Senior
Buenos Aires,Part-Time,Staff (planta permanente),200000,160000,Cobro todo el salario en dólares,180,0,0,0,0,32,Junior
Córdoba,Full-Time,Staff (planta permanente),157000,131000,,,2,2,2,0,30,Junior
Buenos Aires,Full-Time,Staff (planta permanente),350000,290000,,,14,0,0,0,38,Senior
Buenos Aires,Full-Time,Staff (planta permanente),307700,263000,,,30,2,5,3,45,Senior
Mendoza,Full-Time,Freelance,350000,350000,,,6,6,6,0,29,Senior
Buenos Aires,Full-Time,Staff (planta permanente),418910,319005,,,15,11,1,11,39,Senior
Córdoba,Full-Time,Staff (planta permanente),360000,300000,,,5,10,1,15,55,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),985000,485000,Cobro parte del salario en dólares,,10,2,2,25,35,Senior
Santa Fe,Full-Time,Remoto (empresa de otro país),1000000,900000,Cobro todo el salario en dólares,,6,0,0,0,30,Senior
Córdoba,Full-Time,Staff (planta permanente),280000,240000,,,8,5,5,2,30,Senior
Buenos Aires,Full-Time,Staff (planta permanente),160000,120000,,,0,0,0,0,33,Junior
Buenos Aires,Full-Time,Staff (planta permanente),180000,160000,,,1.5,1.5,1.5,0,25,Junior
Santa Fe,Full-Time,Staff (planta permanente),194000,160000,,,2,2,2,0,51,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),150000,130000,,,2,0,0,1,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1180000,792000,Cobro parte del salario en dólares,170.5,7,4,2,34,45,Senior
Santa Fe,Full-Time,Participación societaria en una cooperativa,650000,650000,,,10,10,10,0,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),309000,260000,,,1,1,1,0,37,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),314961,256689,,,2,1,1,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),880000,600000,,,5,4,0,0,27,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),200000,350000,Cobro parte del salario en dólares,280,5,2,0,0,38,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),414000,325000,,,12,1,6,0,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),132000,112000,,,2,2,2,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),235000,200000,,,2,2,2,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,936000,900000,Cobro todo el salario en dólares,,5,0,0,0,38,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000,400000,,,25,0,0,2,44,Senior
Santa Fe,Full-Time,Staff (planta permanente),263000,288000,,,10,2,2,1,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),302000,262000,,,10,0,0,0,34,Senior
Buenos Aires,Full-Time,Freelance,150000,142000,,,3,3,3,0,44,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),825000,825000,Cobro todo el salario en dólares,350,3.5,0,0,1,38,Semi-Senior
Salta,Full-Time,Staff (planta permanente),666060,480000,Cobro parte del salario en dólares,171.4,11,1,1,0,45,Senior
Buenos Aires,Full-Time,Staff (planta permanente),290000,250000,,,4,0,0,0,31,Semi-Senior
Chaco,Full-Time,Staff (planta permanente),350000,310000,,,2,0,0,0,28,Junior
Neuquén,Full-Time,Staff (planta permanente),236000,196000,,,6,6,2,2,29,Senior
Tucumán,Full-Time,Staff (planta permanente),400000,360000,Cobro parte del salario en dólares,176,3,0,0,0,44,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),424204,326084,Cobro parte del salario en dólares,160.5,7,5,5,0,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),800000,800000,Cobro todo el salario en dólares,,4,2,2,0,25,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),380000,280000,,,20,8,8,0,47,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),400000,520000,Cobro parte del salario en dólares,340,15,0,0,0,42,Senior
Córdoba,Full-Time,Staff (planta permanente),1645500,1645500,Cobro todo el salario en dólares,340,19,2,2,0,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),496000,360000,,,5,1,1,0,33,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),330000,278000,Mi sueldo está dolarizado (pero cobro en moneda local),320,4,1,1,3,30,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),210000,525000,Cobro parte del salario en dólares,BLUE,10,2,2,2,37,Senior
Buenos Aires,Full-Time,Staff (planta permanente),240000,199150,,,2,2,1,0,27,Junior
Buenos Aires,Full-Time,Freelance,370000,370000,,,2,2,1,2,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1440000,1440000,Cobro todo el salario en dólares,,5,1.5,0.5,3,30,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),445237,344580,,,5,0,0,0,31,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),355421,281601,,,1,10,1,1,31,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),410000,480000,Cobro parte del salario en dólares,Oficial, pero lo convierto en CCL,6,6,3,7,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),310000,250000,,,5,1,1,2,52,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),479000,389000 pesos argentinos,,,13,0,0,1,53,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),90000,80000,,,2,0,0,0,33,Junior
Buenos Aires,Full-Time,Staff (planta permanente),340000,298000,,,20,0,0,0,42,Senior
Santa Fe,Full-Time,Freelance,850000,750000,Cobro todo el salario en dólares,,8,0,0,0,33,Senior
Córdoba,Full-Time,Staff (planta permanente),250560,207965,,,1,0,1,0,33,Junior
Buenos Aires,Full-Time,Staff (planta permanente),339000,256000,,,5,0,4,0,29,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),494000,320000,,,8,4,2,0,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),127000,260000,,,5,1.5,1.5,0,27,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),398710,321375,Cobro parte del salario en dólares,,5,4,1,0,27,Semi-Senior
Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),320000,2700000,,,5,2,2,0,33,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),215000,200000,,,5,2,2,0,31,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),408000,310000,,,12,8,4,2,33,Senior
Santa Fe,Full-Time,Staff (planta permanente),270000,200000,Mi sueldo está dolarizado (pero cobro en moneda local),Cobro 1000 USD en blue. Parte en blanco y resto en negro,2,2,2,1,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),823560,527479,,,20,18,5,3,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),755000,375000,,,5,2,2,0,45,Semi-Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),320000,,Cobro todo el salario en dólares,,0,0,0,0,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),379000,310000,,,3,0,0,0,40,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),760000,533000,Cobro parte del salario en dólares,oficial,5,4,0,50,28,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),606140,514000,,,25,3,3,40,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,408000,311000,Cobro todo el salario en dólares,173,6,1.5,1.5,0,32,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),190000,152000,,,1,0,0,0,34,Junior
Entre Ríos,Full-Time,Staff (planta permanente),140000,117000,,,1,1,1,0,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),564300,468300,,,11,8,8,0,40,Senior
San Luis,Full-Time,Staff (planta permanente),106000,92000,,,0,0,0,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),131000,112000,,,0,1,1,0,25,Junior
Buenos Aires,Full-Time,Staff (planta permanente),864000,,Cobro todo el salario en dólares,2700,27,0,5,0,46,Senior
Jujuy,Full-Time,Staff (planta permanente),250000,200000,,,10,0,0,0,37,Senior
Buenos Aires,Full-Time,Staff (planta permanente),170000,155000,,,0,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),560000,460000,,,4,0,0,0,34,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),340000,250000,,,1,1,1,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),385000,320000,,,15,12,12,0,42,Senior
Mendoza,Full-Time,Staff (planta permanente),300000,160000,,,15,8,8,1,35,Senior
Buenos Aires,Full-Time,Freelance,730000,610000,,,10,10,0,6,43,Senior
Córdoba,Full-Time,Staff (planta permanente),185000,148000,Mi sueldo está dolarizado (pero cobro en moneda local),En Euros, 183.5 liquidando el martes 20/12,1,1,1,0,25,Junior
Santa Fe,Full-Time,Staff (planta permanente),280000,260000,Cobro parte del salario en dólares,,3,3,1,5,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),395000,325000,,,0,0,0,0,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000,475000,Mi sueldo está dolarizado (pero cobro en moneda local),185,2,2,2,0,31,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),920000,,Cobro todo el salario en dólares,,7,0,4,0,28,Senior
Córdoba,Full-Time,Staff (planta permanente),219400,193201,,,1,0,1,0,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),281000,228000,,,10,5,2,0,45,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),351000,270000,,,36,3,2,8,59,Senior
Santa Fe,Full-Time,Staff (planta permanente),390000,390000,,,15,5,4,2,38,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1138000,748000,Mi sueldo está dolarizado (pero cobro en moneda local),313,5,5,0,0,0,25,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),190000,180000,,,2,0,0,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,400000,,,15,7,4,5,44,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),348000,250000,Cobro parte del salario en dólares,Dolar oficial,2,0,0,0,39,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,,,,3,0,6,0,38,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),165000,136950,,,0,1,0,0,32,Junior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),105000,95000,,,1.5,1.5,1.5,0,32,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000,650000,,,10,3,3,4,60,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),267933,224885,,,4,1,1,0,28,Semi-Senior
Misiones,Full-Time,Tercerizado (trabajo a través de consultora o agencia),280000,232400,,,5,1,1,0,30,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),180000,150000,Cobro parte del salario en dólares,Oficial (187) diciembre,2,2,2,0,26,Junior
Buenos Aires,Full-Time,Staff (planta permanente),350000,350000,Cobro todo el salario en dólares,,2,0,0,0,32,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000,530000,,,5,2,2,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),213500,190000,,,2,2,2,0,31,Junior
Chaco,Full-Time,Staff (planta permanente),175000,145000,,,0,0,0,0,28,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),330694,510009,Cobro todo el salario en dólares,Oficial,4,4,0,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000,370000,,,10,1,1,2,45,Senior
Buenos Aires,Full-Time,Staff (planta permanente),310000,266000,,,3,1,1,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,363424,Cobro parte del salario en dólares,168,5,15,1,4,0,34,Senior
Córdoba,Full-Time,Staff (planta permanente),135000,130000,,,1,1,1,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),570000,353000,,,9,2,2,0,35,Senior
Mendoza,Full-Time,Staff (planta permanente),170000,140000,,,10,10,10,0,30,Senior
Buenos Aires,Full-Time,Staff (planta permanente),780000,7400000,Cobro todo el salario en dólares,345,3,2,2,0,28,Semi-Senior
Buenos Aires,Part-Time,Freelance,95000,83000,Mi sueldo está dolarizado (pero cobro en moneda local),,3,0,3,0,22,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),391000,274000,,,10,1,1,0,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),420000,389400,,,17,2,2,0,41,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),180000,180000,,,0,0,0,0,24,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),752000,700000,Cobro todo el salario en dólares,320,3,0,3,0,28,Semi-Senior
Córdoba,Full-Time,Remoto (empresa de otro país),333000,320000,Cobro todo el salario en dólares,MEP,0,0,0,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),246000,200000,,,4,1,1,0,32,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),675000,421000,,,5,0,0,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),205000,175000,,,20,2,2,0,46,Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),230000,240000,Cobro todo el salario en dólares,315,10,1,1,0,47,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000,432000,,,40,18,18,0,70,Senior
Buenos Aires,Full-Time,Staff (planta permanente),230000,205300,Cobro parte del salario en dólares,178,1,0,0,0,31,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1360000,1300000,Cobro todo el salario en dólares,,10,1,1,0,33,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),410000,320000,,,4,0,0,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,840000,,,20,1,1,0,40,Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),287000,275000,,,5,0,5,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),250000,207000,,,1,0,0,0,30,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),290000,240000,,,15,9,9,0,38,Senior
Mendoza,Full-Time,Staff (planta permanente),185000,160000,,,0,0,0,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),340000,290000,Mi sueldo está dolarizado (pero cobro en moneda local),,2,2,1,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),120000,99400,,,0,0,0,0,24,Junior
Buenos Aires,Full-Time,Staff (planta permanente),850000,840100,Cobro parte del salario en dólares,325,18,13,5,23,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),271541,227623,,,2,2,2,0,29,Junior
Buenos Aires,Full-Time,Staff (planta permanente),227000,181000,,,2,1,1,0,30,Junior
Santa Fe,Full-Time,Staff (planta permanente),120000,170000,,,1,12,1,0,33,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),650000,600000,,,13,13,10,5,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),250000,207000,,,1,1,1,0,29,Junior
Santa Fe,Full-Time,Staff (planta permanente),402000,340000,,,4,0,0,0,32,Semi-Senior
