QR;FORMALIDAD;FMI;RELACIÓN DE TENECIA DEL XTF;LC_PREDIO;lc_estructura_novedad_numero_predial;lc_Novedad;JUSTIFICACION_NOVEDAD;CONTAR LC PREDIO;CONTAR LC ESTRUCTURA;CONDICIÓN DE LC PREDIO (22);NPN PROVISIONAL LC_PREDIO (18);CONDICION_LC_ESTRUCTURA_NOVEDAD (22);NPN PROVISIONAL LC_ESTRUCTURA (18);BUSCAR_LC_PREDIO;BUSCAR_LC_ESTRUCTURA;ESTADO_FMI;FMI_R2;CC VIGENTE
7316864108;Informal;53143;Posesion;73168000300000001A071200000000;73168000300000001A071200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010149000000000
7316862004;Informal;29799;Posesion;73168000300000001A533200000000;73168000300000001A533200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010028000000000
7316864008;Informal;1699;Ocupación;73168000200000036A088200000000;73168000200000036A088200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680002000000360068000000000
7316813456;Formal;33566;Dominio;731680002000000360027000000000;731680002000000360027000000000;Ninguna;;1;1;0;0;0;0;731680002000000360027000000000;731680002000000360027000000000;ACTIVO;33566;731680002000000360027000000000
7316864011;Informal;1699;Ocupación;73168000200000036A090200000000;73168000200000036A090200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;CAMPO VACÍO
7316864015;Informal;25290;Ocupación;73168000200000036A072200000000;731680002000000360004500000059;Cambio_Numero_Predial;Mejora a Ocupación;1;1;2;A;5;0;NO ESTA;731680002000000360004500000059;ACTIVO;NO ESTA;731680002000000360004500000059
7316864093;Informal;1026;Posesion;73168000300000001A573200000000;73168000300000001A573200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015000000000
7316864068;Informal;58123;Posesion;73168000400000001A082200000000;73168000400000001A082200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010098000000000
7316861013;Informal;58124;Posesion;73168000400000001A018200000000;73168000400000001A018200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010099000000000
7316816095;Formal;5859;Dominio;731680004000000360046000000000;731680004000000360046000000000;Ninguna;;1;1;0;0;0;0;731680004000000360046000000000;731680004000000360046000000000;ACTIVO;5859;731680004000000360046000000000
7316864088;Informal;53143;Posesion;73168000300000001A070200000000;73168000300000001A070200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010149000000000
7316864100;Informal;1026;Posesion;73168000300000001A572200000000;73168000300000001A572200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015000000000
7316848684;Formal;56578;Dominio;731680003000000010009000000000;731680003000000010009000000000;Ninguna;;1;1;0;0;0;0;731680003000000010009000000000;731680003000000010009000000000;ACTIVO;;731680003000000010009000000000
7316862001;Informal;29799;Posesion;73168000300000001A532200000000;73168000300000001A532200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010028000000000
7316861011;Informal;3869;Ocupación;73168000400000001A110200000000;731680004000000010020500000012;Cambio_Numero_Predial;Cambio de número predial por cambio de condición de propiedad;1;1;2;A;5;0;NO ESTA;731680004000000010020500000012;ACTIVO;NO ESTA;731680004000000010020500000012
7316805051;Formal;22080;Dominio;73168000400000001A030000000000;73168000400000001A030000000000;Predio_Nuevo;Predio formal no inscrito en la base de datos catastral;1;1;0;A;0;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010056000000000
7316804721;Formal;40321;Dominio;731680003000000010005000000000;731680003000000010005000000000;Ninguna;;1;1;0;0;0;0;731680003000000010005000000000;731680003000000010005000000000;ACTIVO;36085;731680003000000010005000000000
7316811971;Formal;37773;Dominio;731680002000000360026000000000;731680002000000360026000000000;Ninguna;;1;1;0;0;0;0;731680002000000360026000000000;731680002000000360026000000000;ACTIVO;39596;731680002000000360026000000000
7316864096;Informal;53143;Posesion;73168000300000001A069200000000;73168000300000001A069200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010149000000000
7316864101;Informal;1026;Posesion;73168000300000001A571200000000;73168000300000001A571200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015000000000
7316863177;Informal;22998;Ocupación;73168000300000001A600200000000;73168000300000001A600200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015500000010
7316811245;Formal;17036;Dominio;731680004000000010017000000000;731680004000000010017000000000;Ninguna;;1;1;0;0;0;0;731680004000000010017000000000;731680004000000010017000000000;ACTIVO;17036;731680004000000010017000000000
7316863168;Informal;22998;Ocupación;73168000300000001A353200000000;73168000300000001A353200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015500000010
7316864090;Informal;53143;Posesion;73168000300000001A068200000000;731680003000000010149500000001;Cambio_Numero_Predial;Mejora a Posesión;1;1;2;A;5;0;NO ESTA;731680003000000010149500000001;ACTIVO;NO ESTA;731680003000000010149500000001
7316864080;Informal;1026;Posesion;73168000300000001A570200000000;73168000300000001A570200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015000000000
7316867035;Informal;58122;Posesion;73168000400000001A083200000000;73168000400000001A083200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010018000000000
7316864003;Informal;22998;Ocupación;73168000300000001A352200000000;73168000300000001A352200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015500000010
7316802995;Formal;51820;Dominio;731680003000000010031000000000;731680003000000010031000000000;Ninguna;;1;1;0;0;0;0;731680003000000010031000000000;731680003000000010031000000000;ACTIVO;51799;731680003000000010031000000000
7316861014;Informal;58124;Posesion;73168000400000001A017200000000;73168000400000001A017200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010099000000000
7316813900;Formal;51821;Dominio;731680003000000010113000000000;731680003000000010113000000000;Ninguna;;1;1;0;0;0;0;731680003000000010113000000000;731680003000000010113000000000;ACTIVO;51821;731680003000000010113000000000
7316861000;Formal;41410;Dominio;731680003000000010111000000000;731680003000000010111000000000;Ninguna;;1;1;0;0;0;0;731680003000000010111000000000;731680003000000010111000000000;ACTIVO;41410;731680003000000010111000000000
7316861012;Informal;58124;Posesion;73168000400000001A016200000000;73168000400000001A016200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010099000000000
7316860066;Informal;14606;Posesion;73168000300000001A370200000000;73168000300000001A370200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010012000000000
7316810020;Informal;1026;Posesion;73168000300000001A569200000000;73168000300000001A569200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010015000000000
7316811243;Informal;27184;Posesion;73168000400000001A122200000000;731680004000000010020500000007;Cambio_Numero_Predial;Mejora a Posesión;1;1;2;A;5;0;NO ESTA;731680004000000010020500000007;ACTIVO;NO ESTA;731680004000000010020500000007
7316863006;Informal;;Ocupación;73168000400000001A104200000000;73168000400000001A104200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;NO ESTA;NO ESTA;731680004000000010091000000000
7316822880;Formal;52635;Dominio;731680003000000010141000000000;731680003000000010141000000000;Ninguna;;1;1;0;0;0;0;731680003000000010141000000000;731680003000000010141000000000;ACTIVO;52635;731680003000000010141000000000
7316861009;Informal;53143;Posesion;73168000300000001A067200000000;73168000300000001A067200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010149000000000
7316813030;Formal;53064;Dominio;731680004000000010088000000000;731680004000000010088000000000;Ninguna;;1;1;0;0;0;0;731680004000000010088000000000;731680004000000010088000000000;ACTIVO;53064;731680004000000010088000000000
7316862003;Informal;44168;Posesion;73168000300000001A316200000000;73168000300000001A316200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010106000000000
